[34;1m:: Loading distribucio_de_socies.sql...[0m
[32;1m>> configuration to connect to erp at http://localhost[0m
[34;1m:: Connecting to the database...[0m
tipus	nombre	recuento
PROVINCE	Almería	44
PROVINCE	Cádiz	42
PROVINCE	Córdoba	89
PROVINCE	Granada	89
PROVINCE	Huelva	15
PROVINCE	Jaén	11
PROVINCE	Málaga	54
PROVINCE	Sevilla	129
PROVINCE	Huesca	101
PROVINCE	Teruel	25
PROVINCE	Zaragoza	427
PROVINCE	Asturias	68
PROVINCE	Balears, Illes	947
PROVINCE	Palmas, Las	28
PROVINCE	Santa Cruz de Tenerife	23
PROVINCE	Cantabria	49
PROVINCE	Albacete	51
PROVINCE	Ciudad Real	23
PROVINCE	Cuenca	32
PROVINCE	Guadalajara	37
PROVINCE	Toledo	57
PROVINCE	Ávila	21
PROVINCE	Burgos	61
PROVINCE	León	32
PROVINCE	Palencia	14
PROVINCE	Salamanca	28
PROVINCE	Segovia	13
PROVINCE	Soria	13
PROVINCE	Valladolid	53
PROVINCE	Zamora	4
PROVINCE	Barcelona	7843
PROVINCE	Girona	1268
PROVINCE	Lleida	447
PROVINCE	Tarragona	547
PROVINCE	Alicante/Alacant	267
PROVINCE	Castellón/Castelló	193
PROVINCE	Valencia/València	966
PROVINCE	Badajoz	31
PROVINCE	Cáceres	19
PROVINCE	Coruña, A	119
PROVINCE	Lugo	31
PROVINCE	Ourense	12
PROVINCE	Pontevedra	64
PROVINCE	Madrid	1420
PROVINCE	Melilla	1
PROVINCE	Murcia	116
PROVINCE	Navarra	557
PROVINCE	Araba/Álava	47
PROVINCE	Bizkaia	192
PROVINCE	Gipuzkoa	73
PROVINCE	Rioja, La	137
PROVINCE	None	0
STATE	Andalucia	473
STATE	Aragón	553
STATE	Asturias, Principado de	68
STATE	Baleares, Islas	947
STATE	Canarias	51
STATE	Cantabria	49
STATE	Castilla - La Mancha	200
STATE	Castilla y León	239
STATE	Cataluña	10105
STATE	Comunidad Valenciana	1426
STATE	Extremadura	50
STATE	Galicia	226
STATE	Madrid, Comunidad de	1420
STATE	Melilla	1
STATE	Murcia, Región de	116
STATE	Navarra, Comunidad Foral de	557
STATE	País Vasco	312
STATE	Rioja, La	137
STATE	None	0
COUNTY	Mallorca	746
COUNTY	Menorca	132
COUNTY	Pitiüses	69
COUNTY	Fuerteventura	1
COUNTY	Gomera (La)	1
COUNTY	Gran Canaria	25
COUNTY	Lanzarote	2
COUNTY	Tenerife	22
COUNTRY	Chile	1
COUNTRY	France	1
COUNTRY	Germany	2
COUNTRY	Netherlands	3
COUNTRY	Portugal	1
COUNTRY	United Kingdom	2
