PROVINCE,Barcelona,8263
PROVINCE,Girona,1325
PROVINCE,Lleida,470
PROVINCE,Tarragona,579
STATE,Cataluña,10637
COUNTY,Mallorca,790
COUNTY,Menorca,137
COUNTY,Pitiüses,76
PROVINCE,"Balears, Illes",1003
PROVINCE,Navarra,579
PROVINCE,Huesca,105
PROVINCE,Teruel,26
PROVINCE,Zaragoza,456
STATE,Aragón,587
PROVINCE,Madrid,1538
PROVINCE,Alicante/Alacant,280
PROVINCE,Castellón/Castelló,203
PROVINCE,Valencia/València,1042
STATE,Comunidad Valenciana,1525
PROVINCE,"Rioja, La",144
PROVINCE,Almería,46
PROVINCE,Cádiz,43
PROVINCE,Córdoba,96
PROVINCE,Granada,91
PROVINCE,Huelva,17
PROVINCE,Jaén,12
PROVINCE,Málaga,56
PROVINCE,Sevilla,147
STATE,Andalucia,508
PROVINCE,"Coruña, A",128
PROVINCE,Lugo,32
PROVINCE,Ourense,12
PROVINCE,Pontevedra,70
STATE,Galicia,242
PROVINCE,Murcia,129
PROVINCE,Albacete,51
PROVINCE,Ciudad Real,26
PROVINCE,Cuenca,37
PROVINCE,Guadalajara,38
PROVINCE,Toledo,64
STATE,Castilla - La Mancha,216
PROVINCE,Asturias,73
PROVINCE,Cantabria,50
PROVINCE,Araba/Álava,49
PROVINCE,Bizkaia,204
PROVINCE,Gipuzkoa,78
STATE,País Vasco,331
PROVINCE,Badajoz,33
PROVINCE,Cáceres,21
STATE,Extremadura,54
PROVINCE,Ávila,23
PROVINCE,Burgos,68
PROVINCE,León,38
PROVINCE,Palencia,14
PROVINCE,Salamanca,29
PROVINCE,Segovia,13
PROVINCE,Soria,14
PROVINCE,Valladolid,57
PROVINCE,Zamora,4
STATE,Castilla y León,260
COUNTY,Fuerteventura,1
COUNTY,Gomera (La),1
COUNTY,Gran Canaria,29
COUNTY,Lanzarote,5
COUNTY,Tenerife,28
STATE,Canarias,64
PROVINCE,Melilla,1
-,ALTRES,10
